Parent	Child	relationType	edgeScore	Freq
RCSD1	PSMA8	Type 0	0.463554	0.463554
PON2	PSMA8	Type 0	0.301749	0.301749
TM4SF4	NR5A2	Type 0	0.460518	0.460518
ARMCX3	NR5A2	Type 0	0.275253	0.275253
C6orf142	NR5A2	Type 0	0.296522	0.296522
TTR	NR5A2	Type 0	0.216282	0.216282
NR5A2	SCN2A	Type 0	0.262102	0.262102
PARVA	TARS2	Type 0	0.518715	0.518715
BCAR3	TARS2	Type 0	0.352249	0.352249
ANP32E	TARS2	Type 0	0.997408	0.997408
TARS2	FAM81A	Type 0	0.956203	0.956203
TARS2	LIX1	Type 0	0.212047	0.212047
TARS2	SPAG6	Type 0	0.999526	0.999526
TARS2	OGN	Type 0	0.269210	0.269210
TARS2	GALNTL4	Type 0	0.329953	0.329953
TARS2	CHEK2	Type 0	0.217908	0.217908
TARS2	GOLPH3L	Type 0	0.957884	0.957884
TARS2	UCK2	Type 0	0.259760	0.259760
TARS2	FARS2	Type 0	1.000000	1.000000
CTA-221G9.4	KLF12	Type 0	0.999077	0.999077
KLF12	ADAM19	Type 0	0.216114	0.216114
STXBP5	FOXO1	Type 0	0.350511	0.350511
SH3YL1	D2HGDH	Type 0	0.237478	0.237478
ZNF485	D2HGDH	Type 0	0.220217	0.220217
LOC400099	D2HGDH	Type 0	0.269231	0.269231
DHRS12	D2HGDH	Type 0	0.447881	0.447881
TYSND1	D2HGDH	Type 0	0.316199	0.316199
LOC256273	D2HGDH	Type 0	0.298460	0.298460
HEXDC	D2HGDH	Type 0	0.296034	0.296034
ING5	D2HGDH	Type 0	0.999716	0.999716
F3	PDE3B	Type 0	0.306984	0.306984
JPH2	PDE3B	Type 0	0.447355	0.447355
PDE3B	HES6	Type 0	0.373482	0.373482
ELOVL5	C1orf103	Type 0	0.298739	0.298739
SFRS6	C1orf103	Type 0	0.205128	0.205128
SLC12A2	C1orf103	Type 0	0.285007	0.285007
KIAA1967	C1orf103	Type 0	0.300759	0.300759
LLGL2	TOB1	Type 0	0.414431	0.414431
EPB41L1	TOB1	Type 0	0.992114	0.992114
SACS	TOB1	Type 0	0.523650	0.523650
TOB1	ADCY7	Type 0	0.417595	0.417595
TOB1	PBX1	Type 0	0.204461	0.204461
TOB1	TMEM164	Type 0	0.986903	0.986903
TOB1	ABCC11	Type 0	0.210987	0.210987
TOB1	PPP1R3D	Type 0	0.210200	0.210200
TACSTD1	MAL2	Type 0	0.228718	0.228718
ARHGAP30	METRN	Type 0	0.317342	0.317342
METRN	B4GALNT4	Type 0	0.258242	0.258242
ALDH8A1	LYG1	Type 0	0.724960	0.724960
USF1	LYG1	Type 0	0.302220	0.302220
LYG1	ALDH8A1	Type 0	0.275040	0.275040
CDC42BPB	FIGNL1	Type 0	0.300344	0.300344
MAP4K1	FIGNL1	Type 0	0.214231	0.214231
TMEM9	FIGNL1	Type 0	0.243243	0.243243
FBXO5	FIGNL1	Type 0	0.419290	0.419290
DBF4	FIGNL1	Type 0	0.996943	0.996943
CD86	COL29A1	Type 0	0.298191	0.298191
ARD1B	COL29A1	Type 0	0.204409	0.204409
EFCBP1	COL29A1	Type 0	0.235225	0.235225
C4BPA	COL29A1	Type 0	0.924756	0.924756
LINGO1	LGI2	Type 0	0.218028	0.218028
NAT8L	LGI2	Type 0	0.711099	0.711099
CHGB	LGI2	Type 0	0.260712	0.260712
FAM59B	LGI2	Type 0	0.259437	0.259437
REEP1	LGI2	Type 0	0.470329	0.470329
ANKS1B	LGI2	Type 0	0.490548	0.490548
SPSB4	LGI2	Type 0	0.217416	0.217416
LOC257407	LGI2	Type 0	0.334417	0.334417
LGI2	REEP1	Type 0	0.529671	0.529671
ACADM	SLC35C1	Type 0	0.511357	0.511357
PDXK	SLC35C1	Type 0	0.388994	0.388994
PARP1	SLC35C1	Type 0	0.214939	0.214939
SLC35C1	GAS6	Type 0	0.285924	0.285924
SLC35C1	ENDOD1	Type 0	0.252894	0.252894
SH3D19	TMEM2	Type 0	0.418784	0.418784
CTDSPL	TMEM2	Type 0	0.250233	0.250233
JUB	ACO1	Type 0	0.522399	0.522399
CAPN2	ACO1	Type 0	0.256958	0.256958
ADAM9	ACO1	Type 0	0.998560	0.998560
ACO1	IGFBP4	Type 0	0.301505	0.301505
ACO1	DKFZP564J0863	Type 0	0.237668	0.237668
ACO1	SETD6	Type 0	1.000000	1.000000
KIAA0284	RMI1	Type 0	0.219712	0.219712
POLA1	RMI1	Type 0	0.783645	0.783645
RMI1	FAM134B	Type 0	0.220259	0.220259
RMI1	CENPP	Type 0	0.950096	0.950096
RMI1	PTBP2	Type 0	0.240636	0.240636
RMI1	CENPH	Type 0	0.512210	0.512210
RMI1	C9orf40	Type 0	0.323380	0.323380
RMI1	PPHLN1	Type 0	0.205623	0.205623
SPINT2	PBX4	Type 0	0.530801	0.530801
AIM1L	PBX4	Type 0	0.303150	0.303150
SNAI2	FLVCR1	Type 0	0.298048	0.298048
PCDHGA4	FLVCR1	Type 0	0.212682	0.212682
PCDHGA10	FLVCR1	Type 0	0.254710	0.254710
PCDHGA6	FLVCR1	Type 0	0.288026	0.288026
PCDHGA11	FLVCR1	Type 0	0.221902	0.221902
PCDHGA1	FLVCR1	Type 0	0.991148	0.991148
FLVCR1	FLJ36031	Type 0	0.294779	0.294779
LTB4DH	TP53I13	Type 0	0.346826	0.346826
ITGAV	TP53I13	Type 0	0.276663	0.276663
BTD	TP53I13	Type 0	0.997568	0.997568
PCDHA12	PCDHA7	Type 0	0.372621	0.372621
PCDHA5	PCDHA7	Type 0	0.209836	0.209836
TMEM121	PCDHA7	Type 0	0.324656	0.324656
PCDHA10	PCDHA7	Type 0	0.510753	0.510753
PCDHA7	PCDHA12	Type 0	0.277086	0.277086
PCDHA7	PCDHA13	Type 0	0.216216	0.216216
PCDHA7	RADIL	Type 0	0.204185	0.204185
PCDHA7	PCDHA5	Type 0	0.203934	0.203934
PCDHA7	PCDHA10	Type 0	0.489247	0.489247
AMOTL2	LATS2	Type 0	0.995531	0.995531
ADAM9	LATS2	Type 0	0.232432	0.232432
