"","word1","word2","n"
"1","sir","thomas",287
"2","miss","crawford",215
"3","captain","wentworth",170
"4","miss","woodhouse",162
"5","frank","churchill",132
"6","lady","russell",118
"7","lady","bertram",114
"8","sir","walter",113
"9","miss","fairfax",109
"10","colonel","brandon",108
"11","miss","bates",103
"12","lady","catherine",100
"13","sir","john",97
"14","jane","fairfax",96
"15","miss","tilney",82
"16","lady","middleton",81
"17","miss","bingley",72
"18","thousand","pounds",68
"19","miss","dashwood",65
"20","miss","bennet",60
"21","john","knightley",56
"22","miss","morland",55
"23","captain","benwick",52
"24","dear","miss",52
"25","miss","smith",52
"26","miss","crawford's",51
"27","henry","crawford",50
"28","miss","elliot",45
"29","dr","grant",44
"30","miss","bertram",42
"31","sir","thomas's",41
"32","ten","minutes",41
"33","miss","price",40
"34","miss","taylor",40
"35","sir","william",40
"36","john","dashwood",36
"37","de","bourgh",35
"38","dear","sir",35
"39","dear","fanny",34
"40","miss","darcy",34
"41","mansfield","park",33
"42","captain","harville",32
"43","charles","hayter",32
"44","dear","emma",31
"45","maple","grove",31
"46","lady","russell's",29
"47","miss","steeles",28
"48","cried","emma",27
"49","half","hour",27
"50","harriet","smith",27
"51","miss","steele",27
"52","robert","martin",27
"53","short","time",27
"54","captain","wentworth's",26
"55","colonel","forster",26
"56","miss","bertrams",26
"57","replied","elinor",26
"58","colonel","fitzwilliam",25
"59","cried","elizabeth",25
"60","cried","marianne",25
"61","kellynch","hall",25
"62","low","voice",25
"63","miss","thorpe",25
"64","colonel","brandon's",24
"65","anne","elliot",23
"66","dear","madam",23
"67","lady","dalrymple",23
"68","miss","dashwoods",23
"69","miss","lucas",23
"70","short","pause",23
"71","captain","tilney",22
"72","dear","jane",22
"73","miss","musgroves",22
"74","aunt","norris",21
"75","colonel","campbell",21
"76","colonel","wallis",21
"77","dear","catherine",21
"78","eldest","son",20
"79","miss","de",20
"80","ten","thousand",20
"81","frank","churchill's",19
"82","human","nature",19
"83","thornton","lacey",19
"84","box","hill",18
"85","dear","sister",18
"86","lady","bertram's",18
"87","lady","lucas",18
"88","miss","anne",18
"89","poor","dear",18
"90","poor","miss",18
"91","replied","elizabeth",18
"92","sir","walter's",18
"93","perfectly","satisfied",17
"94","short","silence",17
"95","ten","days",17
"96","berkeley","street",16
"97","harley","street",16
"98","lady","catherine's",16
"99","looked","forward",16
"100","milsom","street",16
"101","miss","fairfax's",16
"102","miss","hawkins",16
"103","miss","marianne",16
"104","replied","emma",16
"105","vast","deal",16
"106","dear","dear",15
"107","dear","lizzy",15
"108","dining","parlour",15
"109","fanny","price",15
"110","jane","fairfax's",15
"111","john","thorpe",15
"112","miss","bingley's",15
"113","pretty","girl",15
"114","pulteney","street",15
"115","sir","john's",15
"116","aunt","bertram",14
"117","catherine","de",14
"118","eldest","daughter",14
"119","henry","tilney",14
"120","ill","humour",14
"121","intimate","friend",14
"122","lady","middleton's",14
"123","louisa","musgrove",14
"124","poor","harriet",14
"125","walter","elliot",14
"126","card","table",13
"127","charles","musgrove",13
"128","cousin","edmund",13
"129","edward","ferrars",13
"130","father's","house",13
"131","miss","morton",13
"132","miss","nash",13
"133","perfectly","convinced",13
"134","ten","miles",13
"135","tom","bertram",13
"136","barton","park",12
"137","brought","forward",12
"138","common","sense",12
"139","cried","catherine",12
"140","dear","aunt",12
"141","emma","found",12
"142","ill","natured",12
"143","lovers","vows",12
"144","miss","carteret",12
"145","miss","elizabeth",12
"146","months","ago",12
"147","poor","mother",12
"148","wait","till",12
"149","william","larkins",12
"150","abbey","mill",11
"151","brunswick","square",11
"152","combe","magna",11
"153","cried","fanny",11
"154","dear","isabella",11
"155","dearest","catherine",11
"156","dinner","time",11
"157","extremely","glad",11
"158","hundred","pounds",11
"159","ill","judged",11
"160","ill","timed",11
"161","looked","round",11
"162","miss","campbell",11
"163","miss","woodhouse's",11
"164","replied","anne",11
"165","replied","miss",11
"166","admiral","croft",10
"167","cried","mary",10
"168","cried","miss",10
"169","dear","harriet",10
"170","eldest","sister",10
"171","family","circle",10
"172","family","party",10
"173","infinitely","superior",10
"174","lady","elliot",10
"175","lucy","steele",10
"176","miss","bates's",10
"177","miss","tilney's",10
"178","moment's","pause",10
"179","poor","edward",10
"180","poor","fellow",10
"181","set","forward",10
"182","sore","throat",10
"183","wimpole","street",10
"184","anne","found",9
"185","bond","street",9
"186","clock","struck",9
"187","court","plaister",9
"188","dear","child",9
