STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLOCK,GEOID10_1,P0010001,P0010003,P0010004,P0020002,P0030001,P0030003,P0030004,P0040002
37,119,5521,3002,3.71E+14,Block 3002,G5040,,,S,516469,0,35.357594,-80.717031,750,37,119,5521,3002,3.71E+14,23,23,0,0,16,16,0,0
37,119,6302,3063,3.71E+14,Block 3063,G5040,,,S,21046,0,35.4048138,-80.7716768,750,37,119,6302,3063,3.71E+14,36,33,1,0,25,24,1,0
37,119,5520,1031,3.71E+14,Block 1031,G5040,,,S,6922,0,35.3446573,-80.7374984,750,37,119,5520,1031,3.71E+14,0,0,0,0,0,0,0,0
37,119,6302,1083,3.71E+14,Block 1083,G5040,,,S,0,4406,35.3765934,-80.8129153,750,37,119,6302,1083,3.71E+14,0,0,0,0,0,0,0,0
37,119,5519,2025,3.71E+14,Block 2025,G5040,,,S,130781,0,35.3705835,-80.7360577,750,37,119,5519,2025,3.71E+14,203,108,72,7,168,98,48,4
37,119,5520,2006,3.71E+14,Block 2006,G5040,,,S,20683,0,35.3517525,-80.7309206,750,37,119,5520,2006,3.71E+14,0,0,0,0,0,0,0,0
37,119,6302,3039,3.71E+14,Block 3039,G5040,,,S,17032,0,35.4007092,-80.7694936,750,37,119,6302,3039,3.71E+14,38,29,8,5,34,27,6,5
37,119,5520,1030,3.71E+14,Block 1030,G5040,,,S,5308,0,35.3437101,-80.7384891,750,37,119,5520,1030,3.71E+14,0,0,0,0,0,0,0,0
37,119,6302,3034,3.71E+14,Block 3034,G5040,,,S,5780,0,35.401817,-80.7777656,750,37,119,6302,3034,3.71E+14,0,0,0,0,0,0,0,0
37,119,5521,3060,3.71E+14,Block 3060,G5040,,,S,5285,0,35.3468127,-80.7242416,750,37,119,5521,3060,3.71E+14,23,9,10,0,21,8,9,0
37,119,6302,3042,3.71E+14,Block 3042,G5040,,,S,43662,0,35.3989065,-80.768927,750,37,119,6302,3042,3.71E+14,30,27,1,6,23,21,1,4
37,119,5515,1007,3.71E+14,Block 1007,G5040,,,S,25380,0,35.3913703,-80.7537559,750,37,119,5515,1007,3.71E+14,86,47,30,1,69,43,20,1
37,119,6302,1081,3.71E+14,Block 1081,G5040,,,S,481,0,35.3779877,-80.8209417,750,37,119,6302,1081,3.71E+14,0,0,0,0,0,0,0,0
37,119,6405,2076,3.71E+14,Block 2076,G5040,,,S,116,0,35.4606944,-80.8444185,750,37,119,6405,2076,3.71E+14,0,0,0,0,0,0,0,0
37,119,6403,3014,3.71E+14,Block 3014,G5040,,,S,5067,0,35.4912779,-80.8350663,750,37,119,6403,3014,3.71E+14,0,0,0,0,0,0,0,0
37,119,6406,3019,3.71E+14,Block 3019,G5040,,,S,12510,0,35.4675605,-80.8573433,750,37,119,6406,3019,3.71E+14,34,32,0,3,27,25,0,1
37,119,6404,2000,3.71E+14,Block 2000,G5040,,,S,768246,1832,35.4700156,-80.7802599,750,37,119,6404,2000,3.71E+14,30,30,0,0,23,23,0,0
37,119,6406,2002,3.71E+14,Block 2002,G5040,,,S,63066,0,35.4731373,-80.862653,750,37,119,6406,2002,3.71E+14,95,89,1,10,79,75,1,6
37,119,5717,3003,3.71E+14,Block 3003,G5040,,,S,624539,4104,35.155311,-80.7070864,750,37,119,5717,3003,3.71E+14,640,474,96,67,447,340,67,43
37,119,5713,2034,3.71E+14,Block 2034,G5040,,,S,64455,0,35.1318817,-80.6619278,750,37,119,5713,2034,3.71E+14,49,44,2,1,40,36,2,1
37,119,5713,2005,3.71E+14,Block 2005,G5040,,,S,650106,6681,35.1362468,-80.6642195,750,37,119,5713,2005,3.71E+14,249,206,19,3,185,154,14,3
37,119,5834,1000,3.71E+14,Block 1000,G5040,,,S,1344304,0,35.1126803,-80.6998716,750,37,119,5834,1000,3.71E+14,0,0,0,0,0,0,0,0
37,119,5712,1018,3.71E+14,Block 1018,G5040,,,S,311121,709,35.1131204,-80.6855062,750,37,119,5712,1018,3.71E+14,2,2,0,0,2,2,0,0
37,119,5710,1003,3.71E+14,Block 1003,G5040,,,S,788928,11614,35.1847331,-80.7056854,750,37,119,5710,1003,3.71E+14,860,465,205,202,611,345,148,131
37,119,5711,1001,3.71E+14,Block 1001,G5040,,,S,208977,0,35.1755635,-80.6798465,750,37,119,5711,1001,3.71E+14,95,89,5,3,73,68,4,3
37,119,5711,3016,3.71E+14,Block 3016,G5040,,,S,287621,2244,35.1758336,-80.6677905,750,37,119,5711,3016,3.71E+14,290,260,8,28,236,216,6,20
37,119,5834,1026,3.71E+14,Block 1026,G5040,,,S,8140,0,35.1024588,-80.7228321,750,37,119,5834,1026,3.71E+14,17,17,0,0,10,10,0,0
37,119,3600,2012,3.71E+14,Block 2012,G5040,,,S,123524,0,35.2153707,-80.8748471,750,37,119,3600,2012,3.71E+14,23,0,17,0,17,0,13,0
37,119,400,1007,3.71E+14,Block 1007,G5040,,,S,6491,0,35.2249664,-80.8632883,750,37,119,400,1007,3.71E+14,0,0,0,0,0,0,0,0
37,119,100,1022,3.71E+14,Block 1022,G5040,,,S,4259,0,35.2234707,-80.8525024,750,37,119,100,1022,3.71E+14,0,0,0,0,0,0,0,0
37,119,500,3027,3.71E+14,Block 3027,G5040,,,S,32997,0,35.2271065,-80.8503395,750,37,119,500,3027,3.71E+14,0,0,0,0,0,0,0,0
37,119,500,3030,3.71E+14,Block 3030,G5040,,,S,12686,0,35.2265633,-80.8559263,750,37,119,500,3030,3.71E+14,0,0,0,0,0,0,0,0
37,119,3600,2020,3.71E+14,Block 2020,G5040,,,S,45308,0,35.2139763,-80.8678379,750,37,119,3600,2020,3.71E+14,92,22,66,1,69,18,49,1
37,119,4100,3001,3.71E+14,Block 3001,G5040,,,S,6968,0,35.2267513,-80.8629026,750,37,119,4100,3001,3.71E+14,0,0,0,0,0,0,0,0
37,119,600,2016,3.71E+14,Block 2016,G5040,,,S,3936,0,35.2295272,-80.8315499,750,37,119,600,2016,3.71E+14,0,0,0,0,0,0,0,0
37,119,600,1018,3.71E+14,Block 1018,G5040,,,S,13383,0,35.22589,-80.8327684,750,37,119,600,1018,3.71E+14,83,28,45,1,65,28,30,1
37,119,5611,1013,3.71E+14,Block 1013,G5040,,,S,17855,0,35.330671,-80.7076148,750,37,119,5611,1013,3.71E+14,60,9,43,7,43,9,31,5
37,119,5524,5021,3.71E+14,Block 5021,G5040,,,S,931605,1179,35.2990137,-80.7720668,750,37,119,5524,5021,3.71E+14,0,0,0,0,0,0,0,0
37,119,1801,1002,3.71E+14,Block 1002,G5040,,,S,68224,0,35.2060817,-80.8031384,750,37,119,1801,1002,3.71E+14,97,64,22,13,83,52,20,12
37,119,5832,1002,3.71E+14,Block 1002,G5040,,,S,2030,0,35.1079013,-80.7610714,750,37,119,5832,1002,3.71E+14,0,0,0,0,0,0,0,0
37,119,2903,3010,3.71E+14,Block 3010,G5040,,,S,78198,0,35.1432892,-80.820988,750,37,119,2903,3010,3.71E+14,22,21,0,0,20,19,0,0
37,119,2904,2000,3.71E+14,Block 2000,G5040,,,S,321095,0,35.1558737,-80.8009474,750,37,119,2904,2000,3.71E+14,1122,518,281,157,841,410,183,101
