"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
252,251,255,219,255,155,163,191,150,167
250,251,255,222,255,163,171,191,145,164
252,251,255,226,255,169,182,189,132,161
253,251,255,229,255,169,182,196,136,158
252,251,255,228,255,163,174,198,145,155
252,251,255,226,255,162,181,201,133,153
253,251,255,230,255,162,184,204,111,150
253,251,255,230,255,160,188,207,146,147
251,251,255,229,255,161,189,209,120,144
251,251,255,228,255,164,190,209,105,142
251,251,255,228,255,168,190,210,144,140
252,251,255,228,255,171,191,205,129,137
251,251,255,229,255,173,193,206,117,135
249,251,255,229,255,177,196,207,125,134
249,251,255,233,255,179,196,209,131,132
250,251,255,222,255,179,198,211,125,131
230,251,255,215,255,178,199,212,126,130
175,251,255,195,255,174,200,214,135,129
147,251,255,132,255,173,202,214,125,128
172,251,255,58,255,176,202,214,116,128
192,251,255,34,255,174,203,214,128,128
176,251,255,51,255,170,200,215,120,128
173,251,255,91,255,169,203,215,140,128
196,251,255,113,255,167,207,216,115,128
229,251,255,130,255,151,208,217,89,129
247,251,255,140,255,121,209,218,107,130
250,251,255,159,255,87,209,218,106,130
253,251,255,169,255,54,211,220,92,131
254,251,255,135,255,48,212,220,104,132
253,251,255,88,255,90,214,220,93,134
248,251,255,51,255,137,217,221,91,135
248,251,255,35,255,153,220,221,93,136
253,251,255,18,255,148,221,221,94,137
255,251,255,13,255,146,221,222,89,138
255,251,255,12,255,151,221,222,81,139
255,251,255,10,255,145,222,224,76,140
255,251,255,7,255,131,223,220,77,141
255,251,255,6,255,129,222,221,71,142
255,251,255,9,255,124,222,230,67,144
255,251,255,9,255,123,225,239,61,145
255,251,255,9,255,137,228,239,58,146
255,251,255,8,255,135,226,233,57,147
255,251,255,8,255,128,223,229,58,148
255,251,255,8,255,141,225,210,59,148
255,251,255,7,255,152,231,209,59,149
255,251,255,7,255,152,234,208,65,150
255,251,255,2,255,152,230,206,73,150
255,251,255,4,255,154,230,203,77,151
255,251,255,9,255,156,233,198,85,151
255,251,255,16,255,158,234,191,97,152
255,251,255,21,255,160,233,185,102,152
255,251,255,21,255,160,234,177,104,152
255,251,255,14,255,160,239,175,110,152
255,251,255,8,255,156,237,174,133,152
255,251,255,6,255,148,235,178,149,152
255,251,255,4,255,139,233,183,154,152
255,251,255,2,255,129,234,184,152,151
255,251,255,0,255,123,236,178,162,151
255,251,255,1,255,123,237,171,171,150
255,251,255,2,255,126,236,181,168,149
255,251,255,3,255,130,234,180,163,147
255,251,255,4,255,133,235,177,166,146
255,251,255,6,255,133,236,172,177,145
255,251,255,5,255,134,238,168,184,143
255,251,255,5,255,137,238,171,184,141
255,251,255,5,255,141,237,178,189,140
255,251,255,7,255,142,235,184,199,138
255,251,255,13,255,139,232,191,200,136
255,251,255,21,255,134,230,195,194,135
255,251,255,26,255,128,229,198,193,133
255,251,255,32,255,121,229,198,185,131
255,251,255,31,255,84,230,200,182,130
255,251,255,28,255,61,231,203,171,129
255,251,255,24,255,75,228,202,161,127
255,251,255,22,255,109,222,199,175,126
255,251,255,23,255,144,215,201,184,125
255,251,255,27,255,151,210,201,169,125
255,251,255,30,255,156,196,201,174,124
255,251,255,41,255,159,187,201,189,124
255,251,255,53,255,158,182,202,196,124
255,251,255,71,255,155,187,203,191,124
255,251,255,90,255,155,184,204,187,124
255,251,255,109,255,157,178,204,187,125
255,251,255,126,255,157,184,204,181,125
255,251,255,142,255,152,187,203,170,126
255,251,255,152,255,155,198,203,167,127
255,251,255,154,255,158,212,202,156,129
255,251,255,158,255,153,185,201,180,130
255,251,255,163,255,149,169,200,183,131
255,251,255,168,255,148,117,200,195,133
255,251,255,173,255,146,125,199,175,134
255,251,255,177,255,134,111,200,45,135
255,251,255,182,255,116,103,198,90,137
255,251,255,186,255,105,59,196,125,138
255,251,255,187,255,98,15,194,166,139
255,251,255,189,255,84,114,192,192,141
255,251,255,192,255,75,198,192,196,142
255,251,255,193,255,80,196,191,193,143
255,251,255,194,255,79,144,192,183,144
255,251,255,195,255,67,100,186,179,146
255,251,255,198,255,66,125,183,189,147
251,251,255,224,255,157,165,185,150,168
250,251,255,225,255,158,175,189,139,165
250,251,255,228,255,159,183,186,134,162
249,251,255,231,255,161,180,192,136,159
251,251,255,230,255,161,169,194,145,156
252,251,255,229,255,163,183,196,133,153
253,251,255,232,255,164,185,198,115,150
253,251,255,232,255,163,188,199,145,148
253,251,255,232,255,165,190,200,123,145
254,251,255,231,255,169,191,200,110,143
252,251,255,230,255,172,192,200,139,140
252,251,255,230,255,174,195,193,124,138
248,251,255,231,255,175,198,193,115,136
247,251,255,233,255,178,201,193,133,135
244,251,255,237,255,179,201,194,129,133
243,251,255,231,255,178,202,194,118,132
197,251,255,215,255,177,203,194,120,131
128,251,255,209,255,173,203,195,142,130
135,251,255,195,255,173,204,195,129,129
184,251,255,136,255,176,204,196,109,129
200,251,255,87,255,174,204,196,135,129
191,251,255,89,255,169,204,197,118,129
201,251,255,112,255,161,206,198,126,129
200,251,255,119,255,147,209,199,109,130
195,251,255,116,255,124,210,200,91,131
217,251,255,109,255,96,211,200,106,131
243,251,255,118,255,68,211,201,106,132
250,251,255,131,255,38,213,201,91,133
246,251,255,119,255,31,215,201,108,134
249,251,255,94,255,79,214,201,94,135
254,251,255,55,255,131,217,202,95,137
251,251,255,40,255,145,220,202,93,138
251,251,255,24,255,141,221,203,90,139
255,251,255,18,255,142,221,203,87,140
255,251,255,16,255,156,221,203,80,141
255,251,255,13,255,164,222,197,76,142
255,251,255,10,255,164,223,202,78,143
255,251,255,9,255,142,223,215,69,144
255,251,255,11,255,124,225,229,65,145
255,251,255,11,255,138,227,234,62,146
255,251,255,10,255,153,229,229,59,147
255,251,255,8,255,143,226,224,57,148
255,251,255,7,255,126,224,224,57,149
255,251,255,6,255,132,228,202,59,149
255,251,255,5,255,152,233,200,64,150
255,251,255,5,255,158,235,197,66,151
255,251,255,2,255,157,232,195,69,151
255,251,255,2,255,158,232,192,81,152
255,251,255,3,255,159,233,188,93,152
255,251,255,8,255,159,234,182,97,153
255,251,255,13,255,159,234,178,101,153
255,251,255,16,255,158,235,167,109,153
255,251,255,14,255,157,238,164,114,153
255,251,255,12,255,159,237,161,138,153
255,251,255,11,255,158,236,163,148,153
255,251,255,9,255,152,236,168,155,153
255,251,255,6,255,144,237,172,158,152
255,251,255,3,255,136,238,173,165,152
255,251,255,2,255,131,239,172,166,151
255,251,255,1,255,130,239,173,164,150
255,251,255,1,255,131,238,170,163,148
255,251,255,2,255,131,236,166,174,147
255,251,255,3,255,130,237,163,182,146
255,251,255,5,255,131,238,164,186,144
255,251,255,9,255,134,238,169,188,143
255,251,255,13,255,139,237,176,192,141
255,251,255,16,255,142,236,181,199,139
255,251,255,20,255,141,233,192,198,137
255,251,255,25,255,139,231,197,192,136
255,251,255,28,255,134,231,201,201,134
255,251,255,25,255,125,231,201,189,132
255,251,255,26,255,87,233,202,185,131
255,251,255,27,255,61,235,204,178,129
255,251,255,29,255,73,233,203,168,128
255,251,255,36,255,106,226,199,177,127
255,251,255,51,255,140,215,195,184,126
255,251,255,68,255,148,208,195,172,125
255,251,255,80,255,154,194,196,175,125
255,251,255,102,255,159,188,198,184,124
255,251,255,113,255,158,189,201,193,124
255,251,255,127,255,155,186,202,191,124
255,251,255,137,255,154,179,202,181,124
255,251,255,146,255,156,175,202,180,125
255,251,255,154,255,157,178,202,177,125
255,251,255,161,255,154,193,202,162,126
255,251,255,164,255,154,214,202,158,127
255,251,255,165,255,157,165,201,159,128
255,251,255,169,255,156,121,201,188,129
255,251,255,176,255,153,117,201,190,131
255,251,255,182,255,148,98,201,194,132
255,251,255,187,255,143,94,201,158,133
255,251,255,189,255,132,60,200,53,134
255,251,255,190,255,119,41,199,82,136
255,251,255,190,255,108,26,196,115,137
255,251,255,193,255,95,7,193,160,138
255,251,255,195,255,76,70,191,196,140
255,251,255,197,255,63,192,190,203,141
255,251,255,199,255,65,201,189,198,142
255,251,255,199,255,64,134,189,191,143
255,251,255,200,255,57,101,184,187,144
255,251,255,202,255,61,124,178,190,145
254,251,255,225,255,159,166,179,148,168
254,251,255,226,255,154,172,188,132,165
252,251,255,227,255,151,178,189,139,163
251,251,255,228,255,155,178,185,131,160
253,251,255,229,255,162,173,186,141,157
254,251,255,230,255,164,186,187,138,154
251,251,255,228,255,163,188,188,112,151
250,251,255,231,255,166,190,188,137,148
249,251,255,233,255,169,192,187,132,146
247,251,255,233,255,173,193,186,118,143
246,251,255,233,255,176,195,186,135,141
249,251,255,233,255,175,199,192,126,139
251,251,255,235,255,173,202,192,119,137
249,251,255,237,255,176,205,191,139,136
228,251,255,239,255,178,205,190,119,134
208,251,255,224,255,176,205,189,113,133
183,251,255,224,255,175,205,188,120,132
137,251,255,226,255,172,205,187,141,131
142,251,255,212,255,173,204,186,131,131
205,251,255,189,255,177,204,189,109,131
231,251,255,144,255,174,204,189,137,131
225,251,255,89,255,170,208,190,120,131
240,251,255,83,255,160,210,191,109,131
238,251,255,83,255,137,212,192,105,132
213,251,255,78,255,105,213,193,96,132
