2020-01-01 @Boise St                 65  Wyoming                  54           
2020-01-01 @Nevada                   67  Colorado St              61           
2020-01-01 @Creighton                92  Marquette                75           
2020-01-01 @San Diego St             61  Fresno St                52           
2020-01-01  Peace                    85 @Lynchburg                79 O1        
2020-01-01 @San Jose St              88  New Mexico               85           
2020-01-01 @PFW                      70  South Dakota             59           
2020-01-01 @UNLV                     70  Utah St                  53           
2020-01-01  Furman                   89 @VMI                      73           
2020-01-01 @Adelphi                  86  Mercy                    70           
2020-01-01 @Cincinnati               67  Connecticut              51           
2020-01-01 @Samford                  69  Citadel                  68           
2020-01-01 @Wichita St               75  East Carolina            69           
2020-01-01 @Lenoir-Rhyne             79  Wingate                  72           
2020-01-01 @UNC Greensboro           72  Mercer                   63           
2020-01-01 @SMU                      82  South Florida            64           
2020-01-01  Col Cent Florida         95 @Polk CC                  75           
2020-01-01 @Emporia St               87  Baker KS                 57           
2020-01-01 @St Anselm                87  Daemen                   59           
2020-01-01 @ETSU                     49  Wofford                  48           
2020-01-01 @NW Missouri             101  Simpson IA               66           
2020-01-01 @NE Kearney               73  Nebraska Chr             39           
2020-01-01  Dakota Wesleyan          88 @Dakota St                59           
2020-01-01 @Lincoln Col              82  St Louis Pharm           66           
2020-01-01 @FL Memorial              97  Talladega                82 FS        
2020-01-01 @MT St Northern           97  Concordia AB             47           
2020-01-01 @Simpson CA              103  Northwest Indian         58           
2020-01-02  Azusa Pacific            76 @Academy of Art           59           
2020-01-02 @Colgate                  65  American Univ            51           
2020-01-02  Georgia St               69 @Appalachian St           60           
2020-01-02  UT Arlington             73 @Arkansas St              52           
2020-01-02 @Arkansas Tech            74  SE Oklahoma              70           
2020-01-02 @Ark Little Rock          72  Texas St                 68           
2020-01-02 @Ark Monticello           98  SW Oklahoma              96 O1        
2020-01-02 @N Michigan               74  Ashland                  61           
2020-01-02  Belmont Abbey            93 @Barton                   83 O1        
2020-01-02 @Bates                    98  U New England            60           
2020-01-02  Belhaven MS             101 @Howard Payne             96 O1        
2020-01-02  SIUE                     79 @Belmont                  69           
2020-01-02 @Hawaii Pacific           73  Biola                    68           
2020-01-02  Thomas Aquinas           69 @Bloomfield               58           
2020-01-02 @Boston Univ              73  Lafayette                72           
2020-01-02 @Brown                    85  Rhode Island             75           
2020-01-02 @Bryant                   67  St Francis PA            63           
2020-01-02 @Cal Baptist              76  UTRGV                    67           
2020-01-02  Gardner Webb             67 @Campbell                 65           
2020-01-02  OH Dominican             78 @Cedarville               71           
2020-01-02 @Houston Bap             111  Cent Arkansas           107 O1        
2020-01-02 @Col Charleston           81  Towson                   69           
2020-01-02 @Maine                    75  Columbia                 72 O1        
2020-01-02  UT Dallas                82 @Concordia TX             81           
2020-01-02 @UC San Diego             94  CS Monterey Bay          72           
2020-01-02  CS Poly Pomona           77 @Sonoma St                52           
2020-01-02 @W Washington             80  C Washington             69           
2020-01-02  Daemen                   72 @St Michael's             68           
2020-01-02 @Dallas Bap               93  Texas A&M Intl           70           
2020-01-02 @Lake Superior            60  Davenport                57           
2020-01-02  Dayton                   84 @La Salle                 58           
2020-01-02  North Dakota             82 @Denver                   71           
2020-01-02 @Southern Indiana         86  Drury                    82           
2020-01-02 @Duquesne                 73  St Louis                 59           
2020-01-02 @E Kentucky               74  Tennessee Tech           59           
"2020-01-02  Emmanuel MA              96  St Joseph's ME           91           Somerville, MA"
2020-01-02  Lees-McRae               95 @Erskine                  84           
2020-01-02  E Texas Bap              94 @Hardin-Simmons           84 O1        
2020-01-02 @St Francis NY            79  F Dickinson              63           
2020-01-02 @Ferris St                85  Grand Valley St          73           
2020-01-02 @Northland               101  Finlandia                66           
2020-01-02 @Florida Intl             69  UTEP                     67           
2020-01-02 @VCU                      64  Fordham                  46           
2020-01-02 @Hawaii Hilo              82  Fresno Pacific           73           
2020-01-02  Gonzaga                  85 @Portland                 72           
2020-01-02 @Henderson St             83  OK Baptist               70           
2020-01-02  William & Mary           88 @Hofstra                  61           
2020-01-02 @Loyola MD                80  Holy Cross               70           
2020-01-02 @Michigan St              76  Illinois                 56           
2020-01-02 @North Alabama            62  Jacksonville             57           
2020-01-02  James Madison            64 @UNC Wilmington           60           
2020-01-02 @Lancaster Bib            75  Juniata                  49           
2020-01-02  North Florida            76 @Kennesaw                 57           
2020-01-02  King TN                  90 @S Wesleyan               77           
2020-01-02 @McMurry                  91  Le Tourneau              86           
2020-01-02  South Alabama            60 @Louisiana                57           
2020-01-02 @Loy Marymount            64  San Diego                58           
2020-01-02 @Marshall                 89  Rice                     69           
2020-01-02  SW Baptist               76 @McKendree                68           
2020-01-02  Sam Houston St           94 @McNeese St               75           
2020-01-02  Midwest TX St            59 @UT Tyler                 44           
2020-01-02 @Purdue                   83  Minnesota                78 O2        
2020-01-02  West Georgia             84 @Mississippi Col          63           
2020-01-02  Montana                  60 @Southern Utah            58           
2020-01-02 @W Oregon                 88  MT St-Billings           76           
2020-01-02  Wagner                   66 @Mt St Mary's             47           
2020-01-02 @N Dakota St              94  W Illinois               74           
2020-01-02 @WKU                      93  North Texas              84           
2020-01-02 @TAM C. Christi           67  Northwestern LA          62           
2020-01-02  NW Nazarene              74 @Simon Fraser             71           
2020-01-02  NW Oklahoma St           88 @S Arkansas               84 O1        
2020-01-02 @St Edward's              69  Oklahoma Chr             59           
2020-01-02 @S Dakota St              96  Oral Roberts             79           
2020-01-02 @Richmond                 84  St Joseph's PA           52           
2020-01-02  St Leo                   63 @Rollins                  62           
2020-01-02  TX A&M K'ville           76 @Tarleton St              72           
2020-01-02 @ULM                      79  Troy                     63           
2020-01-02  Truman St                78 @Wm Jewell                63           
2020-01-02 @UC Santa Barbara         87  Westmont                 66           
2020-01-02 @Adrian                   89  North Park               65           
2020-01-02 @Angelo St                85  Permian Basin            77           
2020-01-02 @West Alabama             61  Auburn M'gomery          59           
2020-01-02 @Austin Peay              78  SE Missouri St           63           
2020-01-02 @Stanford                 68  California               52           
2020-01-02 @TX A&M Commerce          73  Cameron                  69           
2020-01-02  Robert Morris            89 @Central Conn             78           
2020-01-02 @Charlotte                51  UAB                      44           
2020-01-02  Ga Southern              70 @Coastal Car              67           
