2020-02-12 @Abilene Chr              81  Houston Bap              67           
2020-02-12 @Adrian                   71  Hope                     65           
2020-02-12  Albion                   96 @Kalamazoo                70           
2020-02-12 @Oberlin                  74  Allegheny                64           
2020-02-12 @Alma                     96  Olivet MI                88           
2020-02-12 @American Univ            81  Loyola MD                76           
2020-02-12  Augsburg                 91 @Hamline                  78           
2020-02-12  Augusta                  87 @Francis Marion           67           
2020-02-12  Averett                  71 @Greensboro               65           
2020-02-12  Worcester Tech           75 @Babson                   56           
2020-02-12  Maryville TN             80 @Berea                    73           
2020-02-12 @Northwestern MN         103  Bethany Luth             82           
2020-02-12  Stony Brook              75 @Binghamton               70           
2020-02-12 @Felician                 76  Bloomfield               70           
2020-02-12 @Bloomsburg               82  Mansfield                55           
2020-02-12  Central St OH            93 @Bluefield WV             86           
2020-02-12  Bluffton                 55 @Manchester               42           
2020-02-12 @Bradley                  72  Indiana St               61           
2020-02-12 @Navy                     60  Bucknell                 59           
2020-02-12 @Butler                   66  Xavier                   61           
2020-02-12  Calvin                   78 @Trine                    71           
2020-02-12 @Niagara                  69  Canisius                 66           
2020-02-12 @Carthage                 89  North Park               77           
2020-02-12 @Juniata                  67  Catholic                 51           
2020-02-12 @Charleston WV            94  Davis & Elkins           88           
2020-02-12 @Chatham                  68  Thiel                    67           
2020-02-12 @Chattanooga              86  VMI                      67           
2020-02-12  York NY                  74 @City Col NY              66           
2020-02-12 @Occidental               58  Claremont M.S.           49           
2020-02-12 @Coast Guard             108  MIT                      93           
2020-02-12 @Concord                 101  Wheeling                 75           
2020-02-12  Rockford                100 @Concordia IL             95 O1        
2020-02-12 @Concordia WI            102  WI Lutheran              94           
2020-02-12  Creighton                87 @Seton Hall               82           
2020-02-12 @Mitchell                 95  Dean                     74           
2020-02-12 @Defiance                 75  Earlham                  74           
2020-02-12  King's PA                77 @Delaware Val             70 O1        
2020-02-12 @Wooster                  93  Denison                  72           
2020-02-12 @Wabash                   71  DePauw                   64           
2020-02-12 @Frank & Marsh            64  Dickinson                53           
2020-02-12 @Missouri St              97  Drake                    62           
2020-02-12 @IL Wesleyan              85  Elmhurst                 73           
2020-02-12 @Embry-Riddle FL          77  Tampa                    62           
2020-02-12 @Emmanuel GA             101  King TN                  87           
2020-02-12 @St Joseph's ME           90  Emmanuel MA              81           
2020-02-12 @E Stroudsburg            92  Kutztown                 90 O2        
2020-02-12 @Eureka                   98  Fontbonne                83           
2020-02-12  Loyola-Chicago           73 @Evansville               66           
2020-02-12  SC Aiken                 81 @Flagler                  72           
2020-02-12 @FL Southern              77  Rollins                  72           
2020-02-12  Franklin                 73 @Rose-Hulman              71           
2020-02-12  Fresno St                84 @San Jose St              78 O1        
2020-02-12 @Frostburg St             63  Urbana                   62           
2020-02-12  Mercyhurst               56 @Gannon                   51           
