,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2000,0.72,0.06,0.08,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0
2001,0.27,0,0.34,0,0.2,0,0,0,0,0,0,0,0.19,0,0,0
2002,0.24,0.24,0,0.44,0,0,0,0,0,0,0,0,0,0.08,0,0
2003,0.11,0,0.35,0.34,0,0,0,0,0,0,0,0,0,0.2,0,0
2004,0.29,0.13,0,0,0,0.14,0.15,0,0,0,0,0.14,0.16,0,0,0
2005,0,0,0,0,0.19,0,0.31,0,0,0.19,0.31,0,0,0,0,0
2006,0,0,0,0,0.2,0.3,0.3,0.2,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0.21,0,0.21,0.58,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0.16,0.84,0,0,0,0,0,0,0
2009,0,0,0,0,0,0.21,0,0.62,0,0.17,0,0,0,0,0,0
2010,0,0,0,0,0,0.24,0,0,0,0,0.27,0.24,0,0,0.24,0
2011,0,0,0,0,0.16,0,0,0,0,0,0.26,0,0.13,0.19,0,0.26
2012,0,0.23,0,0,0.3,0,0,0,0,0,0,0.22,0,0.25,0,0
2013,0,0,0.05,0.16,0,0,0,0,0,0,0,0.12,0.1,0.41,0,0.17
2014,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.55,0.2
2015,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.27,0.21,0.26
